instance,k,judicious,naive
59s,2,33,240
59s,4,130,673
59s,8,223,1520
59s,12,325,2291
59s,16,480,3051
59s,24,796,4148
59s,32,1160,5045
59s,48,1210,6083
59s,64,1210,6740
59s,96,1210,7606
59s,128,1210,7896
59s,160,1210,8449
59s,200,1210,8449
59s,256,1210,8449
59s,384,1210,8449
59s,512,1210,8449
59s,768,1210,8449
59s,1024,1210,8449
59s,1536,1210,8449
59s,2048,1210,8449
59s,3072,1210,8449
59s,4096,1210,8449
59s,8192,1210,8449
404s,2,669,996
404s,4,1662,2759
404s,8,3194,6148
404s,12,4702,9523
404s,16,6197,12870
404s,24,9147,19460
404s,32,12044,26165
404s,48,18019,38632
404s,64,24018,50203
404s,96,35825,68922
404s,128,41293,83492
404s,160,41293,96015
404s,200,41293,112802
404s,256,41293,132635
404s,384,41293,172563
404s,512,41293,210721
404s,768,41293,233851
404s,1024,41293,233851
404s,1536,41293,233851
404s,2048,41293,233851
404s,3072,41293,233851
404s,4096,41293,233851
404s,8192,41293,233851
128s,2,100,397
128s,4,411,1075
128s,8,828,2484
128s,12,1233,3851
128s,16,1681,5153
128s,24,2574,7052
128s,32,3431,8566
128s,48,5213,11215
128s,64,6922,13299
128s,96,8910,16641
128s,128,8910,18972
128s,160,8910,21083
128s,200,8910,24201
128s,256,8910,24534
128s,384,8910,24534
128s,512,8910,24534
128s,768,8910,24534
128s,1024,8910,24534
128s,1536,8910,24534
128s,2048,8910,24534
128s,3072,8910,24534
128s,4096,8910,24534
128s,8192,8910,24534
59l,2,372,959
59l,4,1055,2250
59l,8,1882,3823
59l,12,2435,5112
59l,16,2750,6151
59l,24,3433,8283
59l,32,4033,10029
59l,48,5027,13764
59l,64,5884,17134
59l,96,7383,23266
59l,128,8659,29345
59l,160,9804,34846
59l,200,11236,40714
59l,256,13274,48198
59l,384,18286,60860
59l,512,23529,70330
59l,768,34780,83598
59l,1024,44319,91682
59l,1536,44319,102298
59l,2048,44319,111218
59l,3072,44319,114226
59l,4096,44319,114226
59l,8192,44319,114226
404l,2,1944,2920
404l,4,5340,7889
404l,8,9710,14352
404l,12,12564,20180
404l,16,15409,25231
404l,24,20671,34859
404l,32,24682,44727
404l,48,32002,62410
404l,64,39034,79786
404l,96,51925,113360
404l,128,63699,144892
404l,160,75014,174314
404l,200,88583,204901
404l,256,107097,243947
404l,384,151402,318883
404l,512,194964,377883
404l,768,287362,477351
404l,1024,378825,557706
404l,1536,543860,680805
404l,2048,543860,802466
404l,3072,543860,828074
404l,4096,543860,828074
404l,8192,543860,828074
128l,2,1211,2370
128l,4,3392,5721
128l,8,6723,10578
128l,12,9531,14514
128l,16,11877,17695
128l,24,15329,23213
128l,32,18279,27949
128l,48,22920,36387
128l,64,26808,44117
128l,96,33004,58105
128l,128,38125,71094
128l,160,43242,83645
128l,200,48691,97136
128l,256,55713,114726
128l,384,69961,148296
128l,512,83170,175091
128l,768,108975,211171
128l,1024,134936,237183
128l,1536,187313,276936
128l,2048,241230,301207
128l,3072,315712,345940
128l,4096,315712,345940
128l,8192,315712,345940
sm_part24_11756,2,11291,30031
sm_part24_11756,4,27901,67555
sm_part24_11756,8,55651,113704
sm_part24_11756,12,77561,145961
sm_part24_11756,16,95088,170970
sm_part24_11756,24,121115,210494
sm_part24_11756,32,138688,240552
sm_part24_11756,48,168061,287547
sm_part24_11756,64,189777,323078
sm_part24_11756,96,229273,377325
sm_part24_11756,128,260452,418826
sm_part24_11756,160,286796,451606
sm_part24_11756,200,312971,486599
sm_part24_11756,256,342520,524958
sm_part24_11756,384,394086,590988
sm_part24_11756,512,432091,639120
sm_part24_11756,768,489507,709412
sm_part24_11756,1024,534037,760111
sm_part24_11756,1536,604834,838820
sm_part24_11756,2048,664618,899291
sm_part24_11756,3072,769034,1001011
